"Total System Services, Inc. Com",49.67,49.66,N/A,N/A,49.35,49.42,+0.32,"+0.32 - +0.65%",N/A,N/A,"+0.65%",N/A,N/A,49.22,49.83,N/A,"8:00pm - <b>49.67</b>",49.67,52.13,N/A,N/A,N/A,"49.22 - 49.83",N/A,56.69,37.47,12.20,-7.02,+32.56%,-12.38%,"37.47 - 56.69",1090294,13600,2100,99583,1735600,1.97,2.61,2.83,0.65,10.08,666.64M,3.25,4.89,25.28,N/A,1.64,19.03,17.55,2.25,0.81,0.40,"4/1/2016","3/22/2016","4/15/2016",N/A,"8:00pm",1.57,+3.27%,3.28,+7.06%,46.39,48.10,N/A,N/A,N/A,N/A,N/A,1090294,9.10B,N/A,178648000,N/A,"TSS",N/A,"NYQ",183168000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.78B
"Total S.A.",47.92,47.91,N/A,N/A,48.51,48.00,-0.59,"-0.59 - -1.22%",N/A,N/A,"-1.22%",N/A,N/A,47.69,48.21,N/A,"8:00pm - <b>47.92</b>",47.92,52.07,N/A,N/A,N/A,"47.69 - 48.21",N/A,54.79,39.05,8.87,-6.87,+22.71%,-12.54%,"39.05 - 54.79",1251634,1000,400,17372,2975280,2.16,2.77,4.38,0.51,39.76,22.43B,0.79,1.22,22.19,N/A,-5.41,17.30,10.94,1.55,5.71,2.77,"4/19/2016","3/16/2016","4/15/2016",N/A,"8:00pm",1.70,+3.68%,1.83,+3.97%,46.09,46.22,N/A,N/A,N/A,N/A,N/A,1251634,111.47B,N/A,2145934000,N/A,"TOT",N/A,"NYQ",2326090000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,143.42B
"Tower International, Inc. Commo",31.41,26.10,N/A,N/A,27.20,27.24,-0.36,"-0.36 - -1.32%",N/A,N/A,"-1.32%",N/A,N/A,26.50,27.25,N/A,"8:00pm - <b>26.84</b>",26.84,35.00,N/A,N/A,N/A,"26.50 - 27.25",N/A,31.41,19.36,7.48,-4.57,+38.64%,-14.55%,"19.36 - 31.41",213038,100,100,12206,245435,9.07,3.05,3.36,0.76,9.35,167.32M,0.29,2.91,2.96,N/A,0.89,8.80,7.99,2.02,1.47,0.40,"2/29/2016","2/8/2016","4/15/2016",N/A,"8:00pm",1.06,+4.12%,1.45,+5.70%,25.39,25.78,N/A,N/A,N/A,N/A,N/A,213038,566.59M,N/A,18887000,N/A,"TOWR",N/A,"NYQ",21110000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.96B
"Townsquare Media, Inc. Class A ",10.82,10.75,N/A,N/A,10.78,10.76,-0.04,"-0.04 - -0.37%",N/A,N/A,"-0.37%",N/A,N/A,10.67,10.87,N/A,"8:00pm - <b>10.74</b>",10.74,14.31,N/A,N/A,N/A,"10.67 - 10.87",N/A,14.34,8.60,2.14,-3.60,+24.88%,-25.10%,"8.60 - 14.34",22057,200,200,1759,46066,0.35,1.10,1.24,0.26,20.31,93.70M,0.44,0.53,30.25,N/A,0.26,9.76,8.66,4.48,N/A,N/A,N/A,N/A,"4/15/2016",N/A,"8:00pm",0.10,+0.98%,0.05,+0.45%,10.69,10.64,N/A,N/A,N/A,N/A,N/A,22057,191.85M,N/A,8101000,N/A,"TSQ",N/A,"NYQ",17863000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,441.22M
"Toyota Motor Corporation Common",104.83,103.70,N/A,N/A,104.96,104.51,-1.28,"-1.28 - -1.22%",N/A,N/A,"-1.22%",N/A,N/A,103.49,104.51,N/A,"8:00pm - <b>103.68</b>",103.68,118.73,N/A,N/A,N/A,"103.49 - 104.51",N/A,142.84,97.80,5.88,-39.16,+6.01%,-27.42%,"97.80 - 142.84",399285,200,100,16707,489350,13.69,13.49,13.74,0.00,104.17,42.26B,0.61,1.01,7.57,N/A,0.23,7.69,7.55,3.04,3.10,3.26,"12/8/2014","9/25/2009","4/15/2016",N/A,"8:00pm",-12.24,-10.56%,-1.79,-1.70%,105.47,115.92,N/A,N/A,N/A,N/A,N/A,399285,159.37B,N/A,679187000,N/A,"TM",N/A,"NYQ",1537110000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,264.43B
"TPG Specialty Lending, Inc. Com",16.44,16.42,N/A,N/A,16.32,16.34,+0.14,"+0.14 - +0.86%",N/A,N/A,"+0.86%",N/A,N/A,16.23,16.47,N/A,"8:00pm - <b>16.46</b>",16.46,17.64,N/A,N/A,N/A,"16.23 - 16.47",N/A,18.36,12.68,3.78,-1.90,+29.81%,-10.35%,"12.68 - 18.36",94011,300,300,2797,221824,1.69,1.68,1.70,0.42,0.00,0.00,N/A,N/A,N/A,N/A,3.24,9.80,9.68,0.00,8.97,1.56,"4/29/2016","3/29/2016","4/15/2016",N/A,"8:00pm",-0.06,-0.38%,0.18,+1.13%,16.28,16.52,N/A,N/A,N/A,N/A,N/A,94011,N/A,N/A,N/A,N/A,"TSLX",N/A,"NYQ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TransAlta Corporation Ordinary ",4.72,4.71,N/A,N/A,4.72,4.68,-0.01,"-0.01 - -0.21%",N/A,N/A,"-0.21%",N/A,N/A,4.63,4.75,N/A,"8:00pm - <b>4.71</b>",4.71,4.98,N/A,N/A,N/A,"4.63 - 4.75",N/A,10.38,2.54,2.17,-5.67,+85.43%,-54.62%,"2.54 - 10.38",61218,1600,1400,350,138240,-0.07,0.14,0.15,-0.01,6.60,607.90M,0.77,0.72,N/A,N/A,-2.93,33.64,31.40,27.31,9.31,0.44,"4/1/2016","2/26/2016","4/15/2016",N/A,"8:00pm",0.56,+13.47%,0.19,+4.24%,4.52,4.15,N/A,N/A,N/A,N/A,N/A,61218,1.36B,N/A,266589000,N/A,"TAC",N/A,"NYQ",287903000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.76B
"TransCanada Corporation Common ",45.00,36.84,N/A,N/A,39.29,39.14,-0.14,"-0.14 - -0.36%",N/A,N/A,"-0.36%",N/A,N/A,38.76,39.28,N/A,"8:00pm - <b>39.15</b>",39.15,47.17,N/A,N/A,N/A,"38.76 - 39.28",N/A,48.10,28.40,10.75,-8.95,+37.85%,-18.61%,"28.40 - 48.10",775558,600,100,13646,1332890,-1.36,2.54,2.81,0.51,15.36,4.22B,3.15,2.56,N/A,N/A,3.37,15.41,13.93,5.41,4.43,1.74,"4/29/2016","3/29/2016","4/15/2016",N/A,"8:00pm",4.80,+13.98%,1.57,+4.18%,37.58,34.35,N/A,N/A,N/A,N/A,N/A,775558,27.48B,N/A,701466000,N/A,"TRP",N/A,"NYQ",702000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.75B
"Transcontinental Realty Investo",12.30,8.90,N/A,N/A,9.05,9.20,+0.15,"+0.15 - +1.66%",N/A,N/A,"+1.66%",N/A,N/A,9.20,9.20,N/A,"8:00pm - <b>9.20</b>",9.20,N/A,N/A,N/A,N/A,"9.20 - 9.20",N/A,14.75,8.05,1.15,-5.55,+14.29%,-37.63%,"8.05 - 14.75",125,100,100,113,2337,3.41,nan,N/A,0.00,23.89,29.68M,0.84,0.38,2.70,N/A,0.00,N/A,N/A,0.52,0.00,0.00,N/A,"9/15/2000","4/15/2016",N/A,"8:00pm",-1.25,-11.92%,-1.27,-12.16%,10.47,10.45,N/A,N/A,N/A,N/A,N/A,125,80.20M,N/A,1648000,N/A,"TCI",N/A,"NYQ",8717000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.19M
"Transdigm Group Incorporated Tr",226.54,226.27,N/A,N/A,225.14,225.14,+1.25,"+1.25 - +0.56%",N/A,N/A,"+0.56%",N/A,N/A,224.56,226.87,N/A,"8:00pm - <b>226.39</b>",226.39,241.23,N/A,N/A,N/A,"224.56 - 226.87",N/A,244.90,180.76,45.63,-18.51,+25.24%,-7.56%,"180.76 - 244.90",233723,400,200,15448,672666,8.18,10.82,11.95,2.73,-18.00,1.25B,4.27,N/A,27.67,N/A,1.49,20.92,18.94,7.22,0.00,0.00,"6/26/2014","6/12/2014","4/15/2016",N/A,"8:00pm",4.59,+2.07%,4.98,+2.25%,221.41,221.80,N/A,N/A,N/A,N/A,N/A,233723,12.10B,N/A,50105000,N/A,"TDG",N/A,"NYQ",53466000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.82B
